,Type,Count,Date
1,Confirmed ,444130,2021-09-02
2,Recovered,378168,2021-09-02
3,Deaths,9400,2021-09-02
4,Actives,56562,2021-09-02
5,Confirmed ,447757,2021-09-03
6,Recovered,380166,2021-09-03
7,Deaths,9604,2021-09-03
8,Actives,57987,2021-09-03
9,Confirmed ,456126,2021-09-04
10,Recovered,382476,2021-09-04
11,Deaths,9806,2021-09-04
12,Actives,63844,2021-09-04
13,Confirmed ,459459,2021-09-05
14,Recovered,384557,2021-09-05
15,Deaths,9951,2021-09-05
16,Actives,64951,2021-09-05
17,Confirmed ,462767,2021-09-06
18,Recovered,386509,2021-09-06
19,Deaths,10140,2021-09-06
20,Actives,66118,2021-09-06
21,Confirmed ,468899,2021-09-07
22,Recovered,388278,2021-09-07
23,Deaths,10320,2021-09-07
24,Actives,70301,2021-09-07
25,Confirmed ,471863,2021-09-08
26,Recovered,389969,2021-09-08
27,Deaths,10504,2021-09-08
28,Actives,71390,2021-09-08
29,Confirmed ,474780,2021-09-09
30,Recovered,408116,2021-09-09
31,Deaths,10689,2021-09-09
32,Actives,55975,2021-09-09
33,Confirmed ,477636,2021-09-10
34,Recovered,409628,2021-09-10
35,Deaths,10864,2021-09-10
36,Actives,57144,2021-09-10
37,Confirmed ,480478,2021-09-11
38,Recovered,411233,2021-09-11
39,Deaths,10995,2021-09-11
40,Actives,58250,2021-09-11
41,Confirmed ,483280,2021-09-12
42,Recovered,412812,2021-09-12
43,Deaths,11152,2021-09-12
44,Actives,59316,2021-09-12
45,Confirmed ,485922,2021-09-13
46,Recovered,414295,2021-09-13
47,Deaths,11296,2021-09-13
48,Actives,60331,2021-09-13
49,Confirmed ,488482,2021-09-14
50,Recovered,415649,2021-09-14
51,Deaths,11431,2021-09-14
52,Actives,61402,2021-09-14
53,Confirmed ,494109,2021-09-15
54,Recovered,427254,2021-09-15
55,Deaths,11567,2021-09-15
56,Actives,55288,2021-09-15
57,Confirmed ,496423,2021-09-16
58,Recovered,428590,2021-09-16
59,Deaths,11699,2021-09-16
60,Actives,56134,2021-09-16
61,Confirmed ,498694,2021-09-17
62,Recovered,429776,2021-09-17
63,Deaths,11817,2021-09-17
64,Actives,57101,2021-09-17
65,Confirmed ,500772,2021-09-18
66,Recovered,431036,2021-09-18
67,Deaths,11938,2021-09-18
68,Actives,57798,2021-09-18
69,Confirmed ,502758,2021-09-19
70,Recovered,432038,2021-09-19
71,Deaths,12022,2021-09-19
72,Actives,58698,2021-09-19
73,Confirmed ,504491,2021-09-20
74,Recovered,433093,2021-09-20
75,Deaths,12125,2021-09-20
76,Actives,59273,2021-09-20
77,Confirmed ,506009,2021-09-21
78,Recovered,434140,2021-09-21
79,Deaths,12218,2021-09-21
80,Actives,59651,2021-09-21
81,Confirmed ,507330,2021-09-22
82,Recovered,435022,2021-09-22
83,Deaths,12284,2021-09-22
84,Actives,60024,2021-09-22
85,Confirmed ,508672,2021-09-23
86,Recovered,451742,2021-09-23
87,Deaths,12376,2021-09-23
88,Actives,44554,2021-09-23
89,Confirmed ,510040,2021-09-24
90,Recovered,452692,2021-09-24
91,Deaths,12448,2021-09-24
92,Actives,44900,2021-09-24
93,Confirmed ,511372,2021-09-25
94,Recovered,453689,2021-09-25
95,Deaths,12530,2021-09-25
96,Actives,45153,2021-09-25
97,Confirmed ,512531,2021-09-26
98,Recovered,454532,2021-09-26
99,Deaths,12609,2021-09-26
100,Actives,45390,2021-09-26
101,Confirmed ,513609,2021-09-27
102,Recovered,455344,2021-09-27
103,Deaths,12680,2021-09-27
104,Actives,45585,2021-09-27
105,Confirmed ,514592,2021-09-28
106,Recovered,456087,2021-09-28
107,Deaths,12731,2021-09-28
108,Actives,45774,2021-09-28
109,Confirmed ,515524,2021-09-29
110,Recovered,456857,2021-09-29
111,Deaths,12786,2021-09-29
112,Actives,45881,2021-09-29
113,Confirmed ,516465,2021-09-30
114,Recovered,457488,2021-09-30
115,Deaths,12847,2021-09-30
116,Actives,46130,2021-09-30
